Indicator,2008Q1,2008M01,2008M02,2008M03,2008Q2,2008M04,2008M05,2008M06,2008Q3,2008M07,2008M08,2008M09,2008Q4,2008M10,2008M11,2008M12,2009Q1,2009M01,2009M02,2009M03,2009Q2,2009M04,2009M05,2009M06,2009Q3,2009M07,2009M08,2009M09,2009Q4,2009M10,2009M11,2009M12,2010Q1,2010M01,2010M02,2010M03,2010Q2,2010M04,2010M05,2010M06,2010Q3,2010M07,2010M08,2010M09,2010Q4,2010M10,2010M11,2010M12,2011Q1,2011M01,2011M02,2011M03,2011Q2,2011M04,2011M05,2011M06,2011Q3,2011M07,2011M08,2011M09,2011Q4,2011M10,2011M11,2011M12,2012Q1,2012M01,2012M02,2012M03,2012Q2,2012M04,2012M05,2012M06,2012Q3,2012M07,2012M08,2012M09,2012Q4,2012M10,2012M11,2012M12,2013Q1,2013M01,2013M02,2013M03,2013Q2,2013M04,2013M05,2013M06,2013Q3,2013M07,2013M08,2013M09,2013Q4,2013M10,2013M11,2013M12,2014Q1,2014M01,2014M02,2014M03,2014Q2,2014M04,2014M05,2014M06,2014Q3,2014M07,2014M08,2014M09,2014Q4,2014M10,2014M11,2014M12,2015Q1,2015M01,2015M02,2015M03,2015Q2,2015M04,2015M05,2015M06,2015Q3,2015M07,2015M08,2015M09,2015Q4,2015M10,2015M11,2015M12,2016Q1,2016M01,2016M02,2016M03,2016Q2,2016M04,2016M05,2016M06,2016Q3,2016M07,2016M08,2016M09,2016Q4,2016M10,2016M11,2016M12,2017Q1,2017M01,2017M02,2017M03,2017Q2,2017M04,2017M05,2017M06,2017Q3,2017M07,2017M08,2017M09,2017Q4,2017M10,2017M11,2017M12
Value of Exports (USD),18208.32,5611.90,6126.16,6417.48,22195.15,7215.71,7379.67,7595.95,23482.44,8034.45,7882.49,7579.28,16910.00,6737.19,5335.24,4866.64,13093.74,3662.05,4403.40,4991.65,14769.44,4519.21,4947.93,5348.97,16645.69,5591.78,5025.91,6054.28,18057.86,5891.80,6100.17,6065.55,19360.21,5663.29,6060.12,7655.01,21556.94,6648.61,6898.79,7990.45,24063.73,8238.88,7474.40,8351.48,26367.47,8673.11,8909.33,8783.69,24984.10,7307.33,8076.64,9610.00,27854.50,8777.87,9028.33,10046.50,29297.28,9493.86,9623.89,10142.41,26711.28,8707.33,9468.44,8533.51,25181.57,7461.12,8601.90,9165.76,24868.15,7657.40,8701.92,8478.56,24984.19,8544.36,8561.66,7878.84,24515.06,8007.77,8725.59,7771.80,23063.01,7047.05,8065.34,7935.22,24052.28,8306.12,8073.72,7702.46,24519.80,8781.17,8037.82,7706.77,24460.29,8564.66,8481.86,7437.97,22456.11,7215.19,7740.85,7498.19,22573.82,7354.30,7599.32,7620.10,23837.24,8121.14,7409.00,8296.07,23325.41,7982.24,7628.20,7717.45,20260.34,5850.92,6721.75,7649.36,21636.61,6958.72,7373.20,7302.95,20805.74,7411.53,6743.95,6680.86,18709.17,6292.78,6605.46,5838.05,15697.57,4335.18,5456.16,5957.78,19315.59,6152.40,6454.97,6699.20,19885.02,6291.54,6522.62,7078.31,20258.52,6353.08,7149.00,6758.08,20295.83,5922.68,6595.17,7821.60,22343.30,6735.02,7731.84,7901.21,22621.02,7058.30,7799.19,7761.13,23750.44,7601.50,8264.55,7874.08
Value of Exports (ZAR),137454.04,39356.82,46946.33,51150.89,172574.72,56174.34,56240.45,60159.93,182726.44,61268.16,60390.94,61067.34,168071.57,65652.57,53877.90,48541.09,132581.10,36251.75,44061.75,52267.60,125152.28,40656.33,41456.80,43039.15,129877.93,44461.89,39880.63,45535.41,135306.42,44088.89,45855.86,45361.67,145407.74,42222.67,46452.33,56732.74,162655.72,48881.26,52782.61,60991.85,176103.03,62026.96,54561.33,59514.74,182216.27,59924.36,62214.34,60077.57,175013.65,50589.55,57934.09,66490.02,189431.57,59138.45,62005.07,68288.05,209350.68,64545.09,68025.51,76780.08,216175.33,69388.71,77011.38,69775.24,195377.65,59738.68,65881.18,69757.79,202060.01,59984.38,70949.40,71126.23,206532.93,70478.50,70857.29,65197.15,213019.24,69099.25,76736.92,67183.07,206647.67,61978.65,71725.97,72943.05,228545.05,75677.71,75647.38,77219.97,244983.13,86971.61,81130.12,76881.40,248683.96,84914.24,86545.26,77224.45,244176.10,78599.25,85002.63,80574.22,238011.60,77588.84,79107.27,81315.50,257003.33,86929.54,79001.33,91072.46,261520.96,88364.24,84710.62,88446.10,237880.70,67712.09,77854.80,92313.81,261623.82,83544.94,88244.87,89834.00,270428.03,92348.70,87132.35,90946.99,265764.52,85012.51,93237.28,87514.73,248636.75,70945.32,86020.07,91671.36,290248.43,89962.96,99254.44,101031.04,279639.89,90657.93,89756.45,99225.51,281791.47,88773.61,99496.01,93521.86,268899.30,80213.48,87479.80,101206.02,295789.71,91009.21,102718.94,102061.56,298052.50,92702.85,103199.17,102150.48,324711.67,104205.42,116185.99,104320.26
"Value of Imports, CIF (USD)",24270.97,8105.11,8159.43,8010.87,26569.46,9112.97,9090.14,8379.54,28479.80,10589.92,8995.88,8928.30,21133.20,8141.32,6910.18,6108.60,16328.51,6295.88,4725.01,5322.34,16003.85,5231.04,5185.04,5606.19,19175.18,6769.65,6002.06,6403.29,21633.08,7656.58,7452.62,6522.37,19418.40,5775.89,6331.84,7319.67,20102.86,6635.44,6571.87,6893.44,22687.01,7620.14,7723.22,7336.47,22731.45,8117.12,7826.78,6776.84,24366.12,7511.60,7996.46,8863.05,25841.95,8308.70,8889.79,8637.90,28116.95,9271.74,9640.45,9212.29,26953.04,9442.36,9956.80,7570.64,27043.62,8974.12,8771.81,9301.33,26379.58,8416.85,9399.28,8555.56,27841.86,9142.51,9579.82,9119.04,27109.37,10278.99,9070.40,7761.61,26610.95,9445.32,8735.04,8451.04,26702.40,9693.37,8885.67,8194.65,28467.15,9804.15,9485.96,9179.33,26258.80,9919.16,8862.77,7531.33,25787.14,9083.35,7793.85,8920.79,25386.93,8976.24,8515.55,7902.28,27270.20,9038.07,9280.16,8956.12,26258.31,10407.40,8485.48,7413.51,23867.96,8236.90,7721.24,7911.90,22183.96,7551.62,7354.66,7280.36,23137.17,7990.38,7952.46,7230.09,21002.44,8361.15,7134.42,5649.06,18190.87,5718.10,6133.52,6359.50,18970.91,6626.33,5895.03,6467.14,21054.20,6582.11,7561.21,6933.02,20638.84,6918.08,7588.29,6128.05,20822.67,7050.68,6514.78,7262.78,21595.28,6649.22,7527.94,7434.06,22276.71,6738.95,7724.11,7810.59,22454.39,7661.57,7704.40,7068.85
"Value of Imports, CIF (ZAR)",183220.84,56841.94,62527.78,63851.12,206586.40,70944.49,69275.97,66365.94,221612.91,80755.37,68921.01,71936.53,210046.75,79335.56,69782.47,60928.72,165334.89,62324.80,47279.82,55730.27,135612.35,47060.18,43443.40,45108.77,149614.25,53827.52,47626.38,48160.35,162095.33,57294.89,56022.42,48778.02,145844.75,43062.14,48535.11,54247.50,151684.11,48784.42,50281.38,52618.31,166027.94,57368.75,56377.65,52281.54,157089.04,56082.87,54654.81,46351.36,170684.75,52003.70,57359.01,61322.04,175744.69,55977.56,61053.61,58713.52,200916.36,63034.96,68142.52,69738.88,218131.88,75246.19,80983.47,61902.22,209824.84,71852.74,67182.51,70789.60,214340.79,65933.51,76635.17,71772.11,230155.91,75412.37,79283.71,75459.83,235562.06,88697.73,79769.35,67094.98,238437.68,83071.37,77681.66,77684.66,253726.48,88317.12,83254.97,82154.40,284422.02,97103.55,95746.99,91571.48,266969.09,98343.46,90431.89,78193.74,280396.06,98950.13,85584.61,95861.32,267672.17,94700.45,88645.05,84326.67,294016.08,96744.46,98953.26,98318.36,294404.26,115210.99,94230.56,84962.71,280238.56,95324.83,89431.44,95482.29,268242.22,90663.18,88023.00,89556.05,300731.41,99561.23,102746.45,98423.73,298340.48,112955.23,100703.58,84681.67,288128.54,93576.82,96699.17,97852.55,285069.00,96893.01,90644.66,97531.33,296081.98,94844.92,104048.31,97188.75,287081.59,96668.59,105609.72,84803.28,275879.33,95490.48,86413.60,93975.25,285887.10,89849.76,100010.03,96027.32,293515.86,88508.58,102205.79,102801.49,306992.36,105028.95,108311.23,93652.18
"Value of Imports, FOB (ZAR)",158520.35,49573.22,52766.09,56181.04,184412.87,66169.00,57900.04,60343.84,209293.22,75599.59,65514.39,68179.24,182745.12,71810.53,60757.78,50176.82,150742.11,53631.46,44632.44,52478.21,121367.10,42112.41,39437.16,39817.53,128041.31,44015.13,42361.87,41664.31,140820.90,50797.62,48330.43,41692.85,143003.53,41701.05,47800.76,53501.72,147557.26,47604.08,48858.97,51094.21,161937.42,55861.76,54982.67,51092.99,153750.98,54908.70,53726.17,45116.11,165752.85,51025.49,54517.36,60209.99,172434.53,55062.80,59863.78,57507.95,196208.73,61683.05,66640.62,67885.06,211888.40,73256.96,78791.32,59840.13,202799.49,69154.57,65272.68,68372.24,206910.96,63958.60,73750.11,69202.25,220524.98,71977.89,75868.94,72678.15,224755.16,84685.20,75992.95,64077.01,228209.99,79807.77,74294.35,74107.86,242354.93,84570.21,79467.47,78317.25,272201.64,92430.86,91852.63,87918.16,255291.00,94304.33,86056.04,74930.63,268013.61,94724.28,82004.79,91284.54,255509.44,90303.87,84734.53,80471.04,279688.19,92290.49,93749.60,93648.10,280223.31,110231.75,89406.53,80585.04,267351.80,91246.46,85298.13,90807.20,255036.51,86212.80,83692.00,85131.71,284812.65,94151.13,97530.84,93130.68,280747.90,107382.96,92892.54,80472.40,273033.17,89168.37,91432.22,92432.57,271066.94,92164.68,86214.95,92687.31,281144.52,90262.28,98672.11,92210.13,274025.49,92037.78,100733.83,81253.88,263541.89,91412.03,82463.66,89666.19,273010.92,86069.05,95498.90,91442.97,278835.70,83728.44,97375.40,97731.86,291510.04,99781.01,103132.84,88596.19
"Value of Imports, FOB (USD)",20998.94,7068.66,6885.60,7048.57,23717.68,8499.55,7597.43,7619.17,26896.58,9913.82,8551.23,8461.97,18386.33,7369.11,6016.52,5030.64,14887.33,5417.70,4460.43,5011.77,14322.75,4681.06,4706.89,4948.58,16410.30,5535.59,5338.61,5539.59,18793.82,6788.32,6429.36,5574.98,19040.11,5593.33,6236.03,7219.04,19555.92,6474.89,6385.96,6693.77,22128.06,7419.97,7532.12,7169.69,22248.42,7947.17,7693.80,6596.23,23662.07,7370.30,7600.31,8702.33,25355.21,8172.92,8716.54,8460.54,27458.15,9072.88,9427.96,8967.41,26181.57,9192.74,9687.28,7318.44,26138.15,8637.13,8522.45,8983.71,25465.17,8164.74,9045.43,8249.22,26676.81,8726.14,9167.21,8782.89,25865.67,9813.99,8640.99,7412.49,25469.48,9074.25,8354.14,8061.94,25505.65,9282.13,8481.43,7811.91,27244.04,9332.37,9100.13,8813.12,25110.15,9511.77,8433.91,7217.04,24648.37,8695.42,7467.85,8494.88,24233.38,8559.51,8139.89,7540.96,25941.28,8621.98,8792.14,8530.70,24993.49,9957.61,8051.07,7031.53,22770.40,7884.50,7364.38,7524.52,21091.83,7180.94,6992.79,6920.69,21912.44,7556.18,7548.78,6841.27,19763.97,7948.68,6581.04,5368.26,17237.83,5448.71,5799.45,6007.25,18039.09,6302.97,5606.95,6145.95,19992.01,6264.08,7170.53,6577.87,19700.21,6586.68,7237.94,5871.57,19891.47,6749.54,6217.00,6929.76,20622.64,6369.43,7188.38,7079.16,21162.54,6375.00,7359.06,7425.41,21321.96,7278.75,7336.05,6687.23
