Indicator,2008Q1,2008M01,2008M02,2008M03,2008Q2,2008M04,2008M05,2008M06,2008Q3,2008M07,2008M08,2008M09,2008Q4,2008M10,2008M11,2008M12,2009Q1,2009M01,2009M02,2009M03,2009Q2,2009M04,2009M05,2009M06,2009Q3,2009M07,2009M08,2009M09,2009Q4,2009M10,2009M11,2009M12,2010Q1,2010M01,2010M02,2010M03,2010Q2,2010M04,2010M05,2010M06,2010Q3,2010M07,2010M08,2010M09,2010Q4,2010M10,2010M11,2010M12,2011Q1,2011M01,2011M02,2011M03,2011Q2,2011M04,2011M05,2011M06,2011Q3,2011M07,2011M08,2011M09,2011Q4,2011M10,2011M11,2011M12,2012Q1,2012M01,2012M02,2012M03,2012Q2,2012M04,2012M05,2012M06,2012Q3,2012M07,2012M08,2012M09,2012Q4,2012M10,2012M11,2012M12,2013Q1,2013M01,2013M02,2013M03,2013Q2,2013M04,2013M05,2013M06,2013Q3,2013M07,2013M08,2013M09,2013Q4,2013M10,2013M11,2013M12,2014Q1,2014M01,2014M02,2014M03,2014Q2,2014M04,2014M05,2014M06,2014Q3,2014M07,2014M08,2014M09,2014Q4,2014M10,2014M11,2014M12,2015Q1,2015M01,2015M02,2015M03,2015Q2,2015M04,2015M05,2015M06,2015Q3,2015M07,2015M08,2015M09,2015Q4,2015M10,2015M11,2015M12,2016Q1,2016M01,2016M02,2016M03,2016Q2,2016M04,2016M05,2016M06,2016Q3,2016M07,2016M08,2016M09,2016Q4,2016M10,2016M11,2016M12,2017Q1,2017M01,2017M02,2017M03,2017Q2,2017M04,2017M05,2017M06,2017Q3,2017M07,2017M08,2017M09,2017Q4,2017M10,2017M11,2017M12
"Financial Market Prices, Equities Index",332.30,312.97,335.09,348.84,362.42,358.47,371.98,356.82,304.67,317.62,308.21,288.18,225.69,233.78,216.39,226.89,74.17,77.17,73.49,71.86,79.21,75.80,79.84,82.00,88.35,83.44,89.90,91.73,95.48,94.12,96.66,95.66,96.91,97.37,94.22,99.14,97.91,102.16,96.08,95.49,97.70,96.43,96.50,100.18,107.48,104.24,108.74,109.48,111.14,111.43,113.23,108.76,110.12,112.11,110.32,107.95,106.27,110.42,103.10,105.29,109.21,106.99,109.90,110.76,116.81,114.93,117.99,117.53,116.86,117.29,116.29,117.00,120.43,117.06,121.61,122.64,128.16,124.67,127.77,132.05,137.70,137.74,137.67,137.70,135.23,131.99,138.53,135.18,142.80,136.95,143.41,148.05,150.66,150.30,152.32,149.36,156.77,156.08,156.14,158.09,165.52,161.88,165.49,169.21,172.30,173.30,172.05,171.55,164.45,161.53,168.01,163.81,170.64,163.73,173.87,174.34,176.84,179.03,179.19,172.32,164.25,169.56,162.70,160.51,163.74,167.88,166.36,156.98,156.41,152.78,154.45,162.02,163.30,163.39,164.02,162.51,160.90,161.45,160.43,160.83,155.49,160.15,153.72,152.60,156.77,157.76,157.13,155.44,158.31,159.07,161.57,154.30,165.27,160.31,167.16,168.34,174.57,175.15,178.42,170.16
Producer Price Index,87.42,86.03,87.23,89.00,94.66,90.83,95.32,97.82,99.60,100.43,100.95,97.40,95.73,96.93,95.68,94.59,93.74,93.91,93.60,93.70,93.27,93.49,92.45,93.86,95.79,96.62,96.93,93.80,94.50,93.75,94.54,95.21,96.81,96.47,96.83,97.14,100.01,98.60,98.76,102.67,102.88,104.03,104.45,100.17,100.29,99.75,100.43,100.69,101.41,101.79,103.30,104.19,109.78,105.73,107.82,109.77,114.38,110.54,112.45,113.88,119.86,115.72,117.92,119.39,121.13,122.58,123.72,124.37,123.26,125.19,126.17,125.84,124.12,125.84,126.82,127.14,126.30,128.28,129.26,128.94,127.95,129.59,130.40,131.54,129.97,132.03,132.36,133.34,132.48,134.32,135.29,135.78,134.08,136.43,136.60,137.25,137.65,138.72,140.35,142.14,141.05,143.61,143.77,144.26,142.12,144.91,144.91,145.07,142.49,145.40,145.40,145.24,141.91,143.61,144.10,146.54,145.85,147.84,148.99,149.47,147.07,149.80,149.96,150.29,148.83,151.59,151.76,152.08,152.72,154.53,155.83,156.97,155.76,158.28,158.77,159.58,157.46,160.89,160.72,160.23,159.06,161.54,162.19,163.00,161.24,163.66,164.63,165.12,162.73,165.61,166.43,165.94,164.28,166.75,167.41,168.55,167.21,169.69,170.50,171.48
Consumer Price Index,86.14,85.48,85.91,87.04,88.51,87.61,88.32,89.60,91.44,90.88,91.44,92.01,92.25,92.30,92.30,92.15,93.76,92.72,93.57,94.99,95.70,95.42,95.70,95.99,97.27,96.98,97.27,97.55,97.65,97.55,97.55,97.83,98.78,98.12,98.69,99.54,99.73,99.54,99.82,99.82,100.53,100.39,100.53,100.67,100.96,100.82,100.96,101.10,102.47,101.67,102.24,103.51,104.37,103.80,104.37,104.93,105.98,105.79,105.79,106.35,107.25,107.06,107.21,107.49,108.82,108.06,108.63,109.76,110.47,110.33,110.33,110.76,111.47,110.90,111.32,112.18,113.36,113.03,113.31,113.74,115.16,114.02,115.02,116.44,116.67,116.72,116.44,116.86,118.47,118.00,118.42,118.99,119.47,119.28,119.42,119.70,121.93,120.55,121.83,123.39,124.39,123.96,124.39,124.81,126.00,125.81,126.09,126.09,126.28,126.38,126.38,126.09,127.04,125.95,126.80,128.36,129.97,129.64,129.78,130.49,131.72,131.63,131.77,131.77,132.34,132.06,132.34,132.62,135.37,133.76,135.61,136.74,138.45,138.02,138.30,139.01,140.15,140.15,140.01,140.29,141.47,141.00,141.43,142.00,144.12,142.85,144.41,145.12,145.64,145.26,145.69,145.97,146.59,146.25,146.40,147.11,147.86,147.53,147.67,148.38
